model,sidelength,meantime,stdtime
dg,8,2.4520512e-5,4.389428360868507e-6
random,8,9.975195555555557e-7,3.159559732092562e-8
eg,8,2.5478791999999993e-6,3.3117345175595186e-7
perlin,8,2.7235764e-5,5.711505226128782e-6
pg,8,1.7847188e-6,1.9698747051709381e-7
mpd,8,1.3052694666666668e-5,1.427160639194183e-6
nne,8,2.4309132e-5,5.1456033912083104e-6
dg,16,6.4378156e-5,3.268827359660602e-5
random,16,3.296422e-6,2.151412769970741e-6
eg,16,9.556343333333333e-6,4.077733414353935e-6
perlin,16,4.4879628e-5,2.839520331405645e-5
pg,16,3.964036e-6,2.221975739703366e-6
mpd,16,5.4508396000000004e-5,2.9825333097632335e-5
nne,16,4.3962988e-5,1.3537508343133817e-5
dg,32,0.00020181065599999997,0.00019918188313579064
random,32,9.186681000000001e-6,9.107591563925181e-7
eg,32,1.4475396000000001e-5,2.410140517988484e-6
perlin,32,0.00010735886,1.9776850991321436e-5
pg,32,1.3107556000000001e-5,3.5944842314893666e-6
mpd,32,0.000179341348,0.00012973696326862115
nne,32,0.000163065064,0.0001831885988161183
dg,64,0.00069427086,0.0003772719566481731
random,64,4.5931336000000004e-5,3.0279132858406434e-6
eg,64,5.0986684e-5,6.252368369912022e-6
perlin,64,0.000367169424,0.00011912900986824736
pg,64,4.23736e-5,2.6184239120380277e-6
mpd,64,0.0006488182,0.0003162848286109815
nne,64,0.00073829322,0.00039854205997338216
dg,128,0.0034731487799999996,0.0009657259849882105
random,128,0.000227878084,1.0190735443946035e-5
eg,128,0.00028597698,7.417082757954735e-5
perlin,128,0.001474337992,0.0001925385875246411
pg,128,0.000231944016,3.542833027281164e-5
mpd,128,0.003134348892,0.0009406096975241037
nne,128,0.002475910864,0.0007587277692640271
dg,256,0.012290322004000001,0.0027028222445919154
random,256,0.000538831328,0.0001048685330057761
eg,256,0.000840390052,0.00020639082658592306
perlin,256,0.006255536896,0.0006707072962374016
pg,256,0.0007871382759999999,0.00011503439419435595
mpd,256,0.0126286697,0.003013777118428605
nne,256,0.012582499859999999,0.0024921585538475884
dg,512,0.04929407437254902,0.006780587516876803
random,512,0.0032198005040000002,0.00041490873652250414
eg,512,0.003980269944,0.0005439912630486062
perlin,512,0.019930152212,0.0013146609882260282
pg,512,0.0033096752239999997,0.0004528551560063992
mpd,512,0.053628337255319146,0.007403036170411051
nne,512,0.04601293074311927,0.007641619817515773
dg,1024,0.3475106076666667,0.06785607969946611
random,1024,0.01391720608,0.0009861517510412893
eg,1024,0.01625930888,0.0019437302643916872
perlin,1024,0.14241242769444445,0.040883621735339375
pg,1024,0.010542286631999999,0.0009343110468756883
mpd,1024,0.2828886118888889,0.08444262944895488
nne,1024,0.3189032713125,0.05580113694982256
dg,2048,1.7142522515,0.14669872486685476
random,2048,0.05905810827058824,0.00826562873651487
eg,2048,0.1125406753111111,0.016113105915588694
perlin,2048,0.4717533790909091,0.08988317503890277
pg,2048,0.0667910215131579,0.011180013205352678
mpd,2048,1.1752299548,0.32975474522601395
nne,2048,1.1827532027999998,0.11003206715628998
dg,4096,5.430239793,NaN
random,4096,0.23807883242857145,0.04079527275084945
eg,4096,0.45607203427272724,0.10969820509286192
perlin,4096,2.686546681,0.38836593044573176
pg,4096,0.24544158666666666,0.043218973579696895
mpd,4096,4.108073326,0.11897432642186137
nne,4096,4.626556915,0.22743893606865556
