model,size,meantime,stdtime
random,3,3.211760520935059e-05,1.9483667053112846e-05
pg,3,5.652499198913574e-05,2.5057915287779434e-05
dg,3,0.0001274282932281494,4.084417928849904e-05
eg,3,8.932757377624511e-05,3.1278106142018095e-05
mpd,3,0.0009166021347045898,0.011752309495357861
perlin,3,0.0005167362689971924,0.010259594489657289
nne,3,0.0004722564220428467,8.880336768751879e-05
random,4,3.3318042755126955e-05,1.678726105139468e-05
pg,4,5.7587146759033206e-05,2.3110876630976503e-05
dg,4,0.00012924814224243164,3.9270080974637025e-05
eg,4,9.445691108703613e-05,3.4441057230090964e-05
mpd,4,0.001696669340133667,0.0001505527170301211
perlin,4,0.0002093064785003662,4.700770286322088e-05
nne,4,0.00046720433235168457,8.005029768637786e-05
random,5,5.0792217254638674e-05,2.5284382551529487e-05
pg,5,7.073163986206055e-05,3.1396492662611094e-05
dg,5,0.00015535926818847657,4.657519399080982e-05
eg,5,0.00010393905639648437,3.7636608958149914e-05
mpd,5,0.006362535238265991,0.00022974869952341272
perlin,5,0.00031122779846191407,4.7153541835539795e-05
nne,5,0.0005321187973022461,7.835213813981946e-05
random,6,8.60438346862793e-05,1.5429806423245314e-05
pg,6,9.011101722717285e-05,2.0675585486165905e-05
dg,6,0.0002424921989440918,3.516193664521581e-05
eg,6,0.00014485955238342286,2.2259845364651153e-05
mpd,6,0.026483069896698,0.0007490665790799424
perlin,6,0.0006554961204528808,8.563828410276788e-05
nne,6,0.0007000846862792969,9.910283580621988e-05
random,7,0.0002571704387664795,3.962456620028734e-05
pg,7,0.00017720603942871093,2.8971038518100386e-05
dg,7,0.0006216995716094971,9.07856765328763e-05
eg,7,0.0003296613693237305,5.307812218148882e-05
mpd,7,0.11643707036972045,0.01788725388997422
perlin,7,0.0028318800926208495,0.00031067741306408904
nne,7,0.0013323400020599364,0.00016874402425691283
random,8,0.0009565036296844483,6.663521678606573e-05
pg,8,0.0006635138988494873,0.00017118750315929748
dg,8,0.0031936755180358885,0.0004407220224057113
eg,8,0.0016304845809936522,0.00019224429292219022
mpd,8,0.4993870053291321,0.07632611358691968
perlin,8,0.01151848268508911,0.0008568315474911107
nne,8,0.0036771178245544435,0.0002712408899678785
random,9,0.003949003219604492,0.00037250529691247277
pg,9,0.0026198055744171144,0.0002684777918840604
dg,9,0.01219645643234253,0.0010083276471885953
eg,9,0.007611004114151001,0.0009496216512035081
mpd,9,1.971903167963028,0.21885277682959992
perlin,9,0.04507823991775513,0.0038686799475170595
nne,9,0.013607090950012207,0.0010776420460361506
random,10,0.018302996158599854,0.0027700766701108134
pg,10,0.013129876136779786,0.001592672747293634
dg,10,0.0724856345653534,0.009264291564881793
eg,10,0.027980302572250367,0.001954802017774073
mpd,10,7.598908760786056,0.7679533240550329
perlin,10,0.16016637134552003,0.004639693190708468
nne,10,0.05964043259620667,0.0049250418595603715
