model,size,meantime,stdtime
random,3,3.069305419921875e-05,7.613979741258585e-06
pg,3,6.455230712890625e-05,0.00016604708088031474
dg,3,0.00011536407470703125,2.263178816693088e-05
eg,3,7.467555999755859e-05,3.2361671512342906e-06
mpd,3,0.0019916162490844725,0.023940460433630146
perlin,3,0.0013110780715942384,0.01804507192321071
nne,3,0.0004030895233154297,2.627044041006051e-05
random,4,2.8885841369628908e-05,2.1430589751309007e-06
pg,4,5.919837951660156e-05,1.650396776787449e-05
dg,4,0.00011857223510742187,1.5823833041112177e-05
eg,4,8.609580993652344e-05,4.187403110083369e-06
mpd,4,0.001494521141052246,3.5347029801526846e-05
perlin,4,0.00019269275665283203,7.920633568140767e-06
nne,4,0.0004422464370727539,3.47382635601816e-05
random,5,4.4695854187011716e-05,3.376540583681966e-06
pg,5,6.516838073730469e-05,5.668584623103473e-06
dg,5,0.0001559295654296875,9.883673020497565e-06
eg,5,0.0001050701141357422,5.23255503831402e-06
mpd,5,0.005662032127380371,0.000171035703782435
perlin,5,0.0002646331787109375,5.685679265714863e-06
nne,5,0.00045415592193603514,9.276151433435789e-06
random,6,7.267284393310547e-05,2.713625092415547e-06
pg,6,7.753276824951173e-05,5.768850669433569e-06
dg,6,0.00021282100677490234,5.582210966795174e-06
eg,6,0.00012946414947509764,1.1282081675976163e-05
mpd,6,0.024271018981933595,0.004212336480188978
perlin,6,0.0006334199905395507,8.971598832271245e-05
nne,6,0.0007259178161621093,0.0001401773502083168
random,7,0.0002872705459594727,7.628605399447813e-05
pg,7,0.0001947193145751953,3.967110139397586e-05
dg,7,0.0007215805053710937,0.00023196039091296486
eg,7,0.00030481338500976563,3.33213464969314e-05
mpd,7,0.10325053787231445,0.007913100167851331
perlin,7,0.002727077484130859,0.0007405024191803508
nne,7,0.0012036819458007813,0.00011819914421606027
random,8,0.0009833307266235351,0.00014490622387657435
pg,8,0.0008909425735473633,0.00021774868923463847
dg,8,0.0034874305725097654,0.0006033704556277085
eg,8,0.0016836261749267579,0.000296541441690085
mpd,8,0.42166674995422365,0.06963402333557561
perlin,8,0.013993956565856934,0.0016153558028229585
nne,8,0.004781318664550781,0.0006938393450932966
random,9,0.005229998588562012,0.0007970329183388678
pg,9,0.003167581558227539,0.00045927909905717516
dg,9,0.012569037437438965,0.0008507957018033549
eg,9,0.006771102905273437,0.00040355083464918264
mpd,9,1.8853073463439942,0.29932661879324957
perlin,9,0.050281993865966795,0.010329281013837092
nne,9,0.011220726013183593,0.0004102526421392034
random,10,0.015814924240112306,0.0017961504218354655
pg,10,0.011951231002807617,0.0009069374910656461
dg,10,0.06275529766082763,0.006098803916594032
eg,10,0.02593776798248291,0.0015810497271994447
mpd,10,6.403278317451477,0.06820462242785172
perlin,10,0.1749655933380127,0.030385476563751405
nne,10,0.06301293849945068,0.008133639758481344
random,11,0.06859887886047364,0.0034035893995505557
pg,11,0.05864022636413574,0.003318565710260413
dg,11,0.3695441074371338,0.021867554763773774
eg,11,0.0998906593322754,0.0019388962030978353
random,12,0.25215747928619386,0.021868144655390553
pg,12,0.22119729804992677,0.019440711157815583
dg,12,1.9116729507446288,0.05986461280151671
eg,12,0.38741230487823486,0.007478476456353475
