"","model","sidelength","meantime","stdtime"
"1",NA,NA,NA,NA
"2",NA,NA,NA,NA
"3","random",8,0.03525058421,0.273676503253341
"4","dg",8,0.01854979484,0.00945836730273421
"5","eg",8,0.02381986743,0.000918039465883456
"6","mpd",8,0.00853763917,0.0012802559036763
"7","nne",8,0.01938959723,0.0527806855602917
"8",NA,NA,NA,NA
"9","random",16,0.00766372961,0.000752279409117611
"10","dg",16,0.01923986739,0.00182363911643434
"11","eg",16,0.02979915858,0.0158917299078774
"12","mpd",16,0.01013609942,0.00199767739330906
"13","nne",16,0.0189633694,0.00349600686043334
"14",NA,NA,NA,NA
"15","random",32,0.0111460014,0.00230749825117526
"16","dg",32,0.02206282997,0.00445360875172548
"17","eg",32,0.03007470612,0.00532733086863772
"18","mpd",32,0.00846167148,0.000786552431407006
"19","nne",32,0.01522056984,0.00188777479434575
"20",NA,NA,NA,NA
"21","random",64,0.00994307355,0.00210081092953283
"22","dg",64,0.02680368555,0.00432939465279046
"23","eg",64,0.02929404562,0.00418572459236748
"24","mpd",64,0.00919175764,0.00155440175837592
"25","nne",64,0.01560658151,0.00146331059071161
"26",NA,NA,NA,NA
"27","random",128,0.0087390114,0.000911199555888707
"28","dg",128,0.02091548534,0.0018354441023106
"29","eg",128,0.02610246624,0.00175351203797405
"30","mpd",128,0.00960211016,0.000542195390139197
"31","nne",128,0.01440322765,0.000849498023381894
"32",NA,NA,NA,NA
"33","random",256,0.01089613128,0.00104650507187169
"34","dg",256,0.03104603402,0.018889737898759
"35","eg",256,0.02874470082,0.00131614666805457
"36","mpd",256,0.01617665836,0.000980880696584159
"37","nne",256,0.0163437361,0.00111816003652991
"38",NA,NA,NA,NA
"39","random",512,0.02603148919,0.0198953026635101
"40","dg",512,0.11630168796,0.0634669335748176
"41","eg",512,0.05601500807,0.0145652314534186
"42","mpd",512,0.0487835666,0.0147995589035173
"43","nne",512,0.02782582321,0.00479479796166776
"44",NA,NA,NA,NA
"45","random",1024,0.11326095016,0.063873895021105
"46","dg",1024,0.39543469762,0.0626554560719951
"47","eg",1024,0.14385113545,0.0605814718039414
"48","mpd",1024,0.17484295148,0.0564761549997289
"49","nne",1024,0.05497912347,0.0397156638490328
"50",NA,NA,NA,NA
"51","random",2048,0.39146875717,0.0700654816232392
"52","dg",2048,1.70127095325,0.1311644141342
"53","eg",2048,0.70954592174,0.119969710787232
"54","mpd",2048,0.78530336547,0.0606111117750497
"55","nne",2048,0.28964252842,0.0313970029769229
"56",NA,NA,NA,NA
"57","random",4096,1.59908559273,0.101836240520651
"58","dg",4096,6.86525857363,0.25663486049762
"59","eg",4096,2.13400604263,0.0984956345512886
"60","mpd",4096,2.59465089395,0.0772032501057375
"61","nne",4096,0.62327477382,0.0293653628187458
